city;city_ibge_code;confirmed;confirmed_per_100k_inhabitants;date;death_rate;deaths;estimated_population_2019;is_last;order_for_place;place_type;state
Acrelândia;1200013;6;39,32879;2020-03-30;;0,0;15256,0;True;2;city;AC
Porto Acre;1200807;1;5,40424;2020-03-30;;0,0;18504,0;True;2;city;AC
Rio Branco;1200401;34;8,34727;2020-03-30;;0,0;407319,0;True;14;city;AC
;12;41;4,64887;2020-03-30;;0,0;881935,0;True;14;state;AC
Importados/Indefinidos;;4;;2020-03-30;;0,0;;True;2;city;AL
Maceió;2704302;12;1,17769;2020-03-30;;0,0;1018948,0;True;20;city;AL
Porto Real do Colégio;2707503;1;4,98355;2020-03-30;;0,0;20066,0;True;6;city;AL
;27;17;0,50939;2020-03-30;;0,0;3337357,0;True;20;state;AL
Anori;1300102;1;4,75964;2020-03-30;;0,0;21010,0;True;2;city;AM
Boca do Acre;1300706;1;2,91477;2020-03-30;;0,0;34308,0;True;5;city;AM
Itacoatiara;1301902;2;1,97361;2020-03-30;;0,0;101337,0;True;2;city;AM
Manacapuru;1302504;2;2,05387;2020-03-30;;0,0;97377,0;True;4;city;AM
Manaus;1302603;140;6,41389;2020-03-30;;0,0;2182763,0;True;14;city;AM
Novo Airão;1303205;1;5,14033;2020-03-30;;0,0;19454,0;True;1;city;AM
Parintins;1303403;3;2,62529;2020-03-30;0,3333;1,0;114273,0;True;8;city;AM
Santo Antônio do Içá;1303700;1;4,6292;2020-03-30;;0,0;21602,0;True;5;city;AM
;13;151;3,6433;2020-03-30;0,0066;1,0;4144597,0;True;14;state;AM
Macapá;1600303;8;1,58942;2020-03-30;;0,0;503327,0;True;11;city;AP
;16;8;0,94593;2020-03-30;;0,0;845731,0;True;11;state;AP
Alagoinhas;2900702;1;0,65965;2020-03-30;;0,0;151596,0;True;5;city;BA
Barreiras;2903201;1;0,64334;2020-03-30;;0,0;155439,0;True;9;city;BA
Brumado;2904605;1;1,48821;2020-03-30;;0,0;67195,0;True;8;city;BA
Camaçari;2905701;1;0,3343;2020-03-30;;0,0;299132,0;True;11;city;BA
Canarana;2906204;1;3,82029;2020-03-30;;0,0;26176,0;True;6;city;BA
Conceição do Jacuípe;2908507;1;3,01632;2020-03-30;;0,0;33153,0;True;9;city;BA
Conde;2908606;1;3,87042;2020-03-30;;0,0;25837,0;True;7;city;BA
Dias d'Ávila;2910057;1;1,23321;2020-03-30;;0,0;81089,0;True;1;city;BA
Feira de Santana;2910800;12;1,95163;2020-03-30;;0,0;614872,0;True;23;city;BA
Ilhéus;2913606;2;1,23208;2020-03-30;;0,0;162327,0;True;6;city;BA
Itabuna;2914802;2;0,93799;2020-03-30;;0,0;213223,0;True;12;city;BA
Itagibá;2915205;1;6,85918;2020-03-30;;0,0;14579,0;True;3;city;BA
